Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2014-2015,12.31,35.39,47.69,4.62
Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2015-2016,28.17,23.94,22.54,25.35
Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2016-2017,38.82,32.61,13.04,18.48
Academics Plus School District,12345, 3rd Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 3rd Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 3rd Grade Literacy , All Students Number of Students ,2016-2017,,30,12,17
Academics Plus School District,12345, 3rd Grade Literacy , TAGG ,2014-2015,38.46,46.15,15.38,0.00
Academics Plus School District,12345, 3rd Grade Literacy , TAGG ,2015-2016,40.91,27.27,4.55,27.27
Academics Plus School District,12345, 3rd Grade Literacy , TAGG ,2016-2017,30.00,51.43,11.43,20.00
Academics Plus School District,12345, 3rd Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Literacy , African American ,2015-2016,46.15,30.77,7.69,15.38
Academics Plus School District,12345, 3rd Grade Literacy , African American ,2016-2017,22.03,38.10,14.29,14.29
Academics Plus School District,12345, 3rd Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Literacy , Hispanic ,2016-2017,32.15,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Literacy , Caucasian ,2014-2015,11.11,37.04,46.30,5.56
Academics Plus School District,12345, 3rd Grade Literacy , Caucasian ,2015-2016,27.08,22.92,25.00,25.00
Academics Plus School District,12345, 3rd Grade Literacy , Caucasian ,2016-2017,45.60,27.42,12.90,20.97
Academics Plus School District,12345, 3rd Grade Literacy , Economically Disadvantaged ,2014-2015,30.00,50,20.00,0.00
Academics Plus School District,12345, 3rd Grade Literacy , Economically Disadvantaged ,2015-2016,38.10,28.57,4.76,28.57
Academics Plus School District,12345, 3rd Grade Literacy , Economically Disadvantaged ,2016-2017,30.24,48.28,13.79,20.69
Academics Plus School District,12345, 3rd Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Literacy , Students with Disabilities ,2016-2017,15.67,80.00,0.00,10.00
Academics Plus School District,12345, 3rd Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 3rd Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 3rd Grade Literacy ,Number of recently arrived LEP students not assessed in 3rd Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 3rd Grade Literacy ,Number of recently arrived LEP students not assessed in 3rd Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 3rd Grade Literacy ,Number of recently arrived LEP students not assessed in 3rd Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 3rd Grade Literacy , Female ,2014-2015,7.14,32.14,50.00,10.71
Academics Plus School District,12345, 3rd Grade Literacy , Female ,2015-2016,25.00,18.75,34.38,21.88
Academics Plus School District,12345, 3rd Grade Literacy , Female ,2016-2017,42.99,27.27,11.36,22.73
Academics Plus School District,12345, 3rd Grade Literacy , Male ,2014-2015,16.22,37.84,45.95,0.00
Academics Plus School District,12345, 3rd Grade Literacy , Male ,2015-2016,30.77,28.21,12.82,28.21
Academics Plus School District,12345, 3rd Grade Literacy , Male ,2016-2017,34.80,37.50,14.58,14.58
Academics Plus School District,12345, 3rd Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 3rd Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 3rd Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 3rd Grade Math , All Students Percentage of Students ,2014-2015,4.55,56.06,33.33,6.06
Academics Plus School District,12345, 3rd Grade Math , All Students Percentage of Students ,2015-2016,1.41,22.54,46.48,29.58
Academics Plus School District,12345, 3rd Grade Math , All Students Percentage of Students ,2016-2017,56.17,5.43,21.74,43.48
Academics Plus School District,12345, 3rd Grade Math , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 3rd Grade Math , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 3rd Grade Math , All Students Number of Students ,2016-2017,,5,20,40
Academics Plus School District,12345, 3rd Grade Math , TAGG ,2014-2015,21.43,71.43,7.14,0.00
Academics Plus School District,12345, 3rd Grade Math , TAGG ,2015-2016,4.55,36.36,40.91,18.18
Academics Plus School District,12345, 3rd Grade Math , TAGG ,2016-2017,47.65,14.29,28.57,42.86
Academics Plus School District,12345, 3rd Grade Math , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Math , African American ,2015-2016,7.69,38.46,38.46,15.38
Academics Plus School District,12345, 3rd Grade Math , African American ,2016-2017,36.70,9.52,33.33,38.10
Academics Plus School District,12345, 3rd Grade Math , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Math , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Math , Hispanic ,2016-2017,52.30,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Math , Caucasian ,2014-2015,1.82,56.370000000000005,34.55,7.27
Academics Plus School District,12345, 3rd Grade Math , Caucasian ,2015-2016,0.00,22.92,50.00,27.08
Academics Plus School District,12345, 3rd Grade Math , Caucasian ,2016-2017,63.45,3.23,17.74,45.16
Academics Plus School District,12345, 3rd Grade Math , Economically Disadvantaged ,2014-2015,10.00,80,10.00,0.00
Academics Plus School District,12345, 3rd Grade Math , Economically Disadvantaged ,2015-2016,4.76,33.33,42.86,19.05
Academics Plus School District,12345, 3rd Grade Math , Economically Disadvantaged ,2016-2017,48.11,13.79,27.59,41.38
Academics Plus School District,12345, 3rd Grade Math , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Math , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 3rd Grade Math , Students with Disabilities ,2016-2017,25.52,30.00,40.00,30.00
Academics Plus School District,12345, 3rd Grade Math , Limited English Proficient ,2014-2015,---,---,---,---
