Academics Plus School District,12345,default, Grade One Reading Comprehension ,2014-2015,,74,52
Academics Plus School District,12345,default, Grade One Reading Comprehension ,2015-2016,,70,51
Academics Plus School District,12345,default, Grade One Reading Comprehension ,2016-2017,,51,50
Academics Plus School District,12345,default, Grade One Math Problems ,2014-2015,,68,50
Academics Plus School District,12345,default, Grade One Math Problems ,2015-2016,,69,50
Academics Plus School District,12345,default, Grade One Math Problems ,2016-2017,,51,49
Academics Plus School District,12345,default, Grade Two Reading Comprehension ,2014-2015,,78,56
Academics Plus School District,12345,default, Grade Two Reading Comprehension ,2015-2016,,78,56
Academics Plus School District,12345,default, Grade Two Reading Comprehension ,2016-2017,,68,54
Academics Plus School District,12345,default, Grade Two Math Problems ,2014-2015,,64,54
Academics Plus School District,12345,default, Grade Two Math Problems ,2015-2016,,67,54
Academics Plus School District,12345,default, Grade Two Math Problems ,2016-2017,,61,51
Academics Plus School District,12345,default, Grade Three Reading ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Three Reading ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Three Reading ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Three Math ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Three Math ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Three Math ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Four Reading ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Four Reading ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Four Reading ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Four Math ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Four Math ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Four Math ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Five Reading ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Five Reading ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Five Reading ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Five Math ,2014-2015,,---,---
Academics Plus School District,12345,default, Grade Five Math ,2015-2016,,---,---
Academics Plus School District,12345,default, Grade Five Math ,2016-2017,,---,---
Academics Plus School District,12345,default, Grade Five Science ,2014-2015,,---,---
